url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,16,14
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,5,3
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,5,2
/jgehrcke/covid-19-germany-gae/blob/master/more-data/7di-rki-by-ags.csv,4,2
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,3,3
/jgehrcke/covid-19-germany-gae/tree/master,3,3
/jgehrcke/covid-19-germany-gae/tree/master/more-data,3,2
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-ags.csv,2,2
/jgehrcke/covid-19-germany-gae/blob/master/README.md,2,2
/jgehrcke/covid-19-germany-gae/tree/master/plots,2,2
