time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-15 00:00:00+00:00,27,10,36,13
2021-11-16 00:00:00+00:00,24,9,92,23
2021-11-17 00:00:00+00:00,28,9,59,20
2021-11-18 00:00:00+00:00,26,11,162,36
2021-11-19 00:00:00+00:00,29,10,72,34
2021-11-20 00:00:00+00:00,27,9,68,14
2021-11-21 00:00:00+00:00,27,10,47,17
2021-11-22 00:00:00+00:00,30,11,55,27
2021-11-23 00:00:00+00:00,30,12,89,22
2021-11-24 00:00:00+00:00,26,9,99,20
2021-11-25 00:00:00+00:00,28,11,71,18
2021-11-26 00:00:00+00:00,28,9,75,19
2021-11-27 00:00:00+00:00,25,9,12,5
2021-11-28 00:00:00+00:00,17,7,12,6
