time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-05-11 00:00:00+00:00,,,7,1
2021-05-12 00:00:00+00:00,11.0,7.0,91,25
2021-05-13 00:00:00+00:00,13.0,9.0,96,20
2021-05-14 00:00:00+00:00,16.0,12.0,93,20
2021-05-15 00:00:00+00:00,18.0,13.0,91,24
2021-05-16 00:00:00+00:00,11.0,8.0,139,17
2021-05-17 00:00:00+00:00,19.0,14.0,120,25
2021-05-18 00:00:00+00:00,22.0,16.0,121,35
2021-05-19 00:00:00+00:00,16.0,12.0,82,21
2021-05-20 00:00:00+00:00,18.0,14.0,89,20
2021-05-21 00:00:00+00:00,18.0,13.0,47,14
2021-05-22 00:00:00+00:00,20.0,13.0,40,16
2021-05-23 00:00:00+00:00,22.0,16.0,72,22
2021-05-24 00:00:00+00:00,21.0,16.0,67,19
2021-05-25 00:00:00+00:00,17.0,13.0,72,19
