url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,27,7
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,26,2
/jgehrcke/covid-19-germany-gae,19,16
/jgehrcke/covid-19-germany-gae/tree/master/examples,10,2
/jgehrcke/covid-19-germany-gae/tree/master/geodata,7,2
/jgehrcke/covid-19-germany-gae/branches/all,7,1
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,4,2
/jgehrcke/covid-19-germany-gae/blame/master/cases-rki-by-state.csv,4,1
/jgehrcke/covid-19-germany-gae/branches,4,1
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,3,1
