time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-03-12 00:00:00+00:00,11,6,87,25
2021-03-13 00:00:00+00:00,8,4,43,21
2021-03-14 00:00:00+00:00,11,7,86,21
2021-03-15 00:00:00+00:00,8,4,141,24
2021-03-16 00:00:00+00:00,8,4,61,23
2021-03-17 00:00:00+00:00,12,7,182,25
2021-03-18 00:00:00+00:00,9,5,132,29
2021-03-19 00:00:00+00:00,8,4,104,28
2021-03-20 00:00:00+00:00,13,9,91,22
2021-03-21 00:00:00+00:00,8,4,197,32
2021-03-22 00:00:00+00:00,9,4,88,29
2021-03-23 00:00:00+00:00,7,3,97,29
2021-03-24 00:00:00+00:00,10,6,81,25
2021-03-25 00:00:00+00:00,7,3,51,17
