url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,229,111
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,63,23
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,39,16
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,32,17
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-state.csv,28,6
/jgehrcke/covid-19-germany-gae/tree/master/more-data,19,9
/jgehrcke/covid-19-germany-gae/tree/master/examples,13,11
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-ags.csv,12,8
/jgehrcke/covid-19-germany-gae/blob/master/more-data/7di-rki-by-ags.csv,11,6
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-ags.csv,9,5
