url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,431,158
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,63,25
/jgehrcke/covid-19-germany-gae/tree/master/more-data,62,24
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,45,24
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,37,27
/jgehrcke/covid-19-germany-gae/tree/master/examples,33,22
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-state.csv,32,12
/jgehrcke/covid-19-germany-gae/blob/master/ags.json,31,21
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,26,10
/jgehrcke/covid-19-germany-gae/tree/master/tools,25,14
