url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,484,177
/jgehrcke/covid-19-germany-gae/tree/master/more-data,72,38
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,59,27
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,47,32
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-state.csv,39,14
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,38,29
/jgehrcke/covid-19-germany-gae/tree/master/examples,37,29
/jgehrcke/covid-19-germany-gae/issues,28,10
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,27,15
/jgehrcke/covid-19-germany-gae/tree/master/tools,26,16
