url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,37,25
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,14,7
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,8,5
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,8,4
/jgehrcke/covid-19-germany-gae/tree/master/examples,5,4
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,4,3
/jgehrcke/covid-19-germany-gae/tree/master/geodata,3,3
/jgehrcke/covid-19-germany-gae/tree/master/more-data,3,3
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-ags.csv,3,2
/jgehrcke/covid-19-germany-gae/blob/master/README.md,2,2
