time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-05 00:00:00+00:00,12,5,22,4
2021-09-06 00:00:00+00:00,11,6,36,15
2021-09-07 00:00:00+00:00,9,5,21,9
2021-09-08 00:00:00+00:00,10,5,5,5
2021-09-09 00:00:00+00:00,7,3,51,9
2021-09-10 00:00:00+00:00,8,4,22,13
2021-09-11 00:00:00+00:00,9,4,14,7
2021-09-12 00:00:00+00:00,9,4,18,8
2021-09-13 00:00:00+00:00,11,5,22,12
2021-09-14 00:00:00+00:00,8,4,72,11
2021-09-15 00:00:00+00:00,7,3,12,6
2021-09-16 00:00:00+00:00,14,6,21,6
2021-09-17 00:00:00+00:00,14,7,4,3
2021-09-18 00:00:00+00:00,14,7,19,7
