url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,194,92
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,39,17
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,25,17
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,23,12
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-state.csv,19,9
/jgehrcke/covid-19-germany-gae/tree/master/more-data,16,9
/jgehrcke/covid-19-germany-gae/blob/master/README.md,16,4
/jgehrcke/covid-19-germany-gae/find/master,12,7
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,12,5
/jgehrcke/covid-19-germany-gae/issues,12,4
