referrer,views_total,views_unique
Google,72,49
govdata.de,27,9
github.com,21,13
metager.de,6,2
Yahoo,3,2
asjadnaqvi.github.io,2,2
gehrcke.de,1,1
ajalilian.shinyapps.io,1,1
covid19.eng.ox.ac.uk,1,1
DuckDuckGo,1,1
