url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,378,198
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,50,26
/jgehrcke/covid-19-germany-gae/tree/master/more-data,49,22
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,42,22
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,33,26
/jgehrcke/covid-19-germany-gae/tree/master/examples,24,18
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,24,16
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-state.csv,23,10
/jgehrcke/covid-19-germany-gae/find/master,20,15
/jgehrcke/covid-19-germany-gae/blob/master/more-data/7di-rki-by-ags.csv,20,10
