url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,573,218
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,89,47
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,75,47
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,59,42
/jgehrcke/covid-19-germany-gae/blob/master/ags.json,55,31
/jgehrcke/covid-19-germany-gae/issues,53,13
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,33,15
/jgehrcke/covid-19-germany-gae/find/master,32,16
/jgehrcke/covid-19-germany-gae/tree/master/tools,31,19
/jgehrcke/covid-19-germany-gae/tree/master/plots,25,21
