referrer,views_total,views_unique
paperswithcode.com,47,2
github.com,24,5
arxiv.org,15,1
Bing,13,1
data.world,7,1
Google,5,4
jgehrcke.github.io,3,1
ncbi.nlm.nih.gov,1,1
stat.paperswithcode.com,1,1
