referrer,views_total,views_unique
Google,58,26
github.com,18,11
l.messenger.com,6,2
govdata.de,5,2
ncbi.nlm.nih.gov,3,1
corona-open-data.ckan.de,2,2
DuckDuckGo,1,1
developer.here.com,1,1
