url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,275,139
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,58,21
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,31,20
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,29,17
/jgehrcke/covid-19-germany-gae/tree/master/more-data,29,16
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-state.csv,21,7
/jgehrcke/covid-19-germany-gae/tree/master/examples,20,16
/jgehrcke/covid-19-germany-gae/blob/master/README.md,17,7
/jgehrcke/covid-19-germany-gae/blob/master/more-data/latest-aggregate.csv,15,10
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,11,7
