referrer,views_total,views_unique
Google,115,71
github.com,90,40
covid19-germany.appspot.com,5,2
DuckDuckGo,4,3
ecosia.org,4,2
t.co,3,3
gehrcke.de,3,2
StartPage,3,1
stackedit.io,1,1
l.facebook.com,1,1
