url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,30,21
/jgehrcke/covid-19-germany-gae/releases,8,2
/jgehrcke/covid-19-germany-gae/blob/master/README.md,3,2
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,3,1
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,3,1
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-ags.csv,2,1
/jgehrcke/covid-19-germany-gae/tree/master/.github/workflows,2,1
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,1,1
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,1,1
/jgehrcke/covid-19-germany-gae/blob/master/more-data/7di-rki-by-ags.csv,1,1
