url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,15,6
/jgehrcke/covid-19-germany-gae/issues/1748,5,5
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,3,3
/jgehrcke/covid-19-germany-gae/actions,2,2
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,2,2
/jgehrcke/covid-19-germany-gae/issues,2,2
/jgehrcke/covid-19-germany-gae/tree/master/plots,2,1
/jgehrcke/covid-19-germany-gae/blob/master/ags.json,1,1
/jgehrcke/covid-19-germany-gae/blob/master/plots/germany-heatmap-7ti-rki.png,1,1
/jgehrcke/covid-19-germany-gae/community,1,1
