url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,153,70
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,32,14
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-state.csv,22,4
/jgehrcke/covid-19-germany-gae/issues,18,5
/jgehrcke/covid-19-germany-gae/tree/master/more-data,13,8
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,12,7
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-ags.csv,11,5
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,10,5
/jgehrcke/covid-19-germany-gae/issues/1342,8,4
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-ags.csv,6,4
