url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,493,192
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,71,36
/jgehrcke/covid-19-germany-gae/tree/master/more-data,68,20
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,63,30
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,55,35
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-state.csv,35,11
/jgehrcke/covid-19-germany-gae/issues,31,10
/jgehrcke/covid-19-germany-gae/tree/master/geodata,30,14
/jgehrcke/covid-19-germany-gae/tree/master/examples,28,22
/jgehrcke/covid-19-germany-gae/blob/master/more-data/7di-rki-by-ags.csv,27,11
