url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,160,68
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,48,14
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-state.csv,21,9
/jgehrcke/covid-19-germany-gae/commits/master,20,1
/jgehrcke/covid-19-germany-gae/find/master,17,9
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-ags.csv,16,7
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,15,9
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,11,7
/jgehrcke/covid-19-germany-gae/tree/master/more-data,10,6
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rl-crowdsource-by-ags.csv,9,4
