url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,143,61
/jgehrcke/covid-19-germany-gae/tree/master/geodata,37,3
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,31,10
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,22,10
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-ags.csv,21,7
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,18,6
/jgehrcke/covid-19-germany-gae/issues,12,4
/jgehrcke/covid-19-germany-gae/find/master,8,5
/jgehrcke/covid-19-germany-gae/pulls,8,3
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,5,2
