time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-06 00:00:00+00:00,14,9,187,21
2021-04-07 00:00:00+00:00,16,10,65,17
2021-04-08 00:00:00+00:00,12,6,69,15
2021-04-09 00:00:00+00:00,20,12,55,20
2021-04-10 00:00:00+00:00,15,11,93,17
2021-04-11 00:00:00+00:00,17,8,79,14
2021-04-12 00:00:00+00:00,17,11,129,15
2021-04-13 00:00:00+00:00,12,7,88,20
2021-04-14 00:00:00+00:00,16,11,125,30
2021-04-15 00:00:00+00:00,17,10,145,32
2021-04-16 00:00:00+00:00,15,8,71,20
2021-04-17 00:00:00+00:00,13,7,44,11
2021-04-18 00:00:00+00:00,15,9,75,18
2021-04-19 00:00:00+00:00,13,7,137,25
2021-04-20 00:00:00+00:00,14,9,77,22
2021-04-21 00:00:00+00:00,13,7,94,22
2021-04-22 00:00:00+00:00,14,10,117,29
2021-04-23 00:00:00+00:00,13,8,188,38
2021-04-24 00:00:00+00:00,16,8,60,18
2021-04-25 00:00:00+00:00,12,6,127,23
2021-04-26 00:00:00+00:00,15,8,217,24
2021-04-27 00:00:00+00:00,12,7,48,17
2021-04-28 00:00:00+00:00,13,7,150,37
2021-04-29 00:00:00+00:00,16,9,124,25
2021-04-30 00:00:00+00:00,20,14,138,28
2021-05-01 00:00:00+00:00,18,13,86,20
2021-05-02 00:00:00+00:00,19,14,69,24
2021-05-03 00:00:00+00:00,20,14,87,30
2021-05-04 00:00:00+00:00,18,12,25,13
2021-05-05 00:00:00+00:00,18,13,121,27
2021-05-06 00:00:00+00:00,18,14,126,27
2021-05-07 00:00:00+00:00,15,11,81,26
2021-05-08 00:00:00+00:00,12,8,36,11
2021-05-09 00:00:00+00:00,19,12,71,16
2021-05-10 00:00:00+00:00,14,8,113,28
2021-05-11 00:00:00+00:00,16,11,198,24
2021-05-12 00:00:00+00:00,11,7,91,25
2021-05-13 00:00:00+00:00,13,9,96,20
2021-05-14 00:00:00+00:00,16,12,93,20
2021-05-15 00:00:00+00:00,18,13,91,24
2021-05-16 00:00:00+00:00,11,8,139,17
2021-05-17 00:00:00+00:00,19,14,120,25
2021-05-18 00:00:00+00:00,22,16,121,35
2021-05-19 00:00:00+00:00,16,12,82,21
2021-05-20 00:00:00+00:00,18,14,89,20
2021-05-21 00:00:00+00:00,18,13,47,14
2021-05-22 00:00:00+00:00,20,13,40,16
2021-05-23 00:00:00+00:00,22,16,72,22
2021-05-24 00:00:00+00:00,21,16,67,19
2021-05-25 00:00:00+00:00,17,13,74,21
2021-05-26 00:00:00+00:00,13,9,95,25
2021-05-27 00:00:00+00:00,13,8,82,23
2021-05-28 00:00:00+00:00,15,11,69,22
2021-05-29 00:00:00+00:00,13,8,18,16
2021-05-30 00:00:00+00:00,13,7,31,13
2021-05-31 00:00:00+00:00,14,10,100,13
2021-06-01 00:00:00+00:00,16,10,155,33
2021-06-02 00:00:00+00:00,13,8,114,21
2021-06-03 00:00:00+00:00,12,8,51,19
2021-06-04 00:00:00+00:00,12,8,73,19
2021-06-05 00:00:00+00:00,15,9,31,11
