referrer,views_total,views_unique
github.com,14,7
Google,13,10
jira-dc.qualcomm.com,12,3
DuckDuckGo,3,3
Bing,3,1
statics.teams.cdn.office.net,2,1
benfulcher.github.io,1,1
cn.bing.com,1,1
maplibre.org,1,1
chatgpt.com,1,1
