time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-14 00:00:00+00:00,3.0,2.0,22,12
2022-06-15 00:00:00+00:00,3.0,2.0,34,12
2022-06-16 00:00:00+00:00,4.0,2.0,10,8
2022-06-17 00:00:00+00:00,,,21,8
2022-06-18 00:00:00+00:00,,,2,2
2022-06-19 00:00:00+00:00,1.0,1.0,4,2
2022-06-20 00:00:00+00:00,,,21,5
2022-06-21 00:00:00+00:00,,,65,13
2022-06-22 00:00:00+00:00,,,26,15
2022-06-23 00:00:00+00:00,,,10,7
2022-06-24 00:00:00+00:00,,,13,10
2022-06-25 00:00:00+00:00,2.0,2.0,5,5
2022-06-26 00:00:00+00:00,2.0,1.0,8,5
2022-06-27 00:00:00+00:00,,,17,8
