url_path,views_total,views_unique
/jgehrcke/github-repo-stats,107,63
/jgehrcke/github-repo-stats/wiki/Tutorial,29,19
/jgehrcke/github-repo-stats/tree/main/.github/workflows,11,2
/jgehrcke/github-repo-stats/blob/main/Dockerfile,9,2
/jgehrcke/github-repo-stats/blob/main/.github/workflows/prs.yml,8,2
/jgehrcke/github-repo-stats/blob/main/base.Dockerfile,6,1
/jgehrcke/github-repo-stats/actions,5,2
/jgehrcke/github-repo-stats/blob/main/analyze.py,5,1
/jgehrcke/github-repo-stats/branches,5,1
/jgehrcke/github-repo-stats/commits,5,1
