url_path,views_total,views_unique
/jgehrcke/github-repo-stats,36,31
/jgehrcke/github-repo-stats/wiki/Tutorial,13,8
/jgehrcke/github-repo-stats/issues,5,3
/jgehrcke/github-repo-stats/pulls,3,3
/jgehrcke/github-repo-stats/blob/5fefc527288995e2e7e35593db496451580f51db/analyze.py,3,2
/jgehrcke/github-repo-stats/blob/main/fetch.py,2,2
/jgehrcke/github-repo-stats/labels,2,2
/jgehrcke/github-repo-stats/commit/479477ac48751ce9b05477fb7ef6c8ca69a9ee5c,2,1
/jgehrcke/github-repo-stats/actions,1,1
/jgehrcke/github-repo-stats/blob/main/Dockerfile,1,1
