time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-10 00:00:00+00:00,2,2,2,2
2026-05-11 00:00:00+00:00,2,2,7,4
2026-05-12 00:00:00+00:00,15,11,16,2
2026-05-13 00:00:00+00:00,1,1,3,3
2026-05-14 00:00:00+00:00,1,1,21,4
2026-05-15 00:00:00+00:00,3,3,8,5
2026-05-16 00:00:00+00:00,2,1,7,3
2026-05-17 00:00:00+00:00,1,1,3,1
2026-05-18 00:00:00+00:00,5,5,2,2
2026-05-19 00:00:00+00:00,13,8,1,1
2026-05-20 00:00:00+00:00,3,3,14,9
2026-05-21 00:00:00+00:00,1,1,6,6
2026-05-22 00:00:00+00:00,4,4,8,7
2026-05-23 00:00:00+00:00,17,6,14,7
