referrer,views_total,views_unique
Google,63,24
github.com,36,10
jgehrcke.github.io,8,1
hub.docker.com,6,1
yandex.ru,2,2
medium.com,2,2
tom-doerr.github.io,2,1
gitsrc.github.io,1,1
vega.github.io,1,1
perplexity.ai,1,1
