url_path,views_total,views_unique
/jgehrcke/github-repo-stats,49,40
/jgehrcke/github-repo-stats/wiki/Tutorial,11,7
/jgehrcke/github-repo-stats/issues,4,3
/jgehrcke/github-repo-stats/blob/main/Dockerfile,3,1
/jgehrcke/github-repo-stats/blob/main/fetch.py,2,2
/jgehrcke/github-repo-stats/blob/main/analyze.py,2,1
/jgehrcke/github-repo-stats/commit/09ab0520279398d84f5bc89f36398b4b672f4f4b,2,1
/jgehrcke/github-repo-stats/commit/2285bd7da7fadb3fe3f9989e8bb6155676a288bd,2,1
/jgehrcke/github-repo-stats/fork,2,1
/jgehrcke/github-repo-stats/blob/main/action.yml,1,1
