url_path,views_total,views_unique
/jgehrcke/github-repo-stats,57,41
/jgehrcke/github-repo-stats/blob/main/.github/workflows/prs.yml,8,1
/jgehrcke/github-repo-stats/wiki/Tutorial,6,4
/jgehrcke/github-repo-stats/tree/main/.github/workflows,4,1
/jgehrcke/github-repo-stats/issues,2,2
/jgehrcke/github-repo-stats/issues/15,2,2
/jgehrcke/github-repo-stats/blob/2387abdb09c714236860ee088c97963665e131a7/action.yml,2,1
/jgehrcke/github-repo-stats/blob/2387abdb09c714236860ee088c97963665e131a7/analyze.py,2,1
/jgehrcke/github-repo-stats/blob/2387abdb09c714236860ee088c97963665e131a7/entrypoint.sh,2,1
/jgehrcke/github-repo-stats/commits,2,1
