url_path,views_total,views_unique
/jgehrcke/github-repo-stats,111,65
/jgehrcke/github-repo-stats/wiki/Tutorial,20,13
/jgehrcke/github-repo-stats/issues,10,6
/jgehrcke/github-repo-stats/network/dependents,6,1
/jgehrcke/github-repo-stats/tree/main/resources,4,4
/jgehrcke/github-repo-stats/blob/main/action.yml,4,3
/jgehrcke/github-repo-stats/blob/main/analyze.py,3,3
/jgehrcke/github-repo-stats/blob/main/fetch.py,3,3
/jgehrcke/github-repo-stats/actions,3,2
/jgehrcke/github-repo-stats/blob/5fefc527288995e2e7e35593db496451580f51db/analyze.py,3,1
