url_path,views_total,views_unique
/jgehrcke/github-repo-stats,102,63
/jgehrcke/github-repo-stats/wiki/Tutorial,21,16
/jgehrcke/github-repo-stats/blob/main/fetch.py,5,2
/jgehrcke/github-repo-stats/issues,4,1
/jgehrcke/github-repo-stats/tree/main/.github/workflows,3,3
/jgehrcke/github-repo-stats/blob/5fefc527288995e2e7e35593db496451580f51db/analyze.py,2,2
/jgehrcke/github-repo-stats/tree/main/resources,2,2
/jgehrcke/github-repo-stats/actions,2,1
/jgehrcke/github-repo-stats/actions/runs/3730341386,2,1
/jgehrcke/github-repo-stats/actions/runs/3730341386/jobs/6327283961,2,1
