time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-06 00:00:00+00:00,,,14,6
2022-03-07 00:00:00+00:00,,,44,10
2022-03-08 00:00:00+00:00,1.0,1.0,10,8
2022-03-09 00:00:00+00:00,8.0,1.0,26,17
2022-03-10 00:00:00+00:00,,,19,9
2022-03-11 00:00:00+00:00,1.0,1.0,8,7
2022-03-12 00:00:00+00:00,,,7,7
2022-03-13 00:00:00+00:00,,,10,9
2022-03-14 00:00:00+00:00,,,4,4
2022-03-15 00:00:00+00:00,2.0,1.0,18,7
2022-03-16 00:00:00+00:00,2.0,1.0,16,13
2022-03-17 00:00:00+00:00,,,15,14
2022-03-18 00:00:00+00:00,,,27,12
2022-03-19 00:00:00+00:00,,,10,7
