url_path,views_total,views_unique
/jgehrcke/github-repo-stats,91,53
/jgehrcke/github-repo-stats/tree/main/.github/workflows,17,4
/jgehrcke/github-repo-stats/wiki/Tutorial,16,10
/jgehrcke/github-repo-stats/blob/main/.github/workflows/prs.yml,14,4
/jgehrcke/github-repo-stats/blob/main/fetch.py,11,2
/jgehrcke/github-repo-stats/blob/main/entrypoint.sh,7,3
/jgehrcke/github-repo-stats/tree/main/resources,6,2
/jgehrcke/github-repo-stats/blob/main/action.yml,6,1
/jgehrcke/github-repo-stats/blob/main/analyze.py,5,2
/jgehrcke/github-repo-stats/branches,5,2
