referrer,views_total,views_unique
github.com,39,18
Google,30,25
translated.turbopages.org,19,2
jgehrcke.github.io,4,1
dbpunk-labs.github.io,3,2
slacgismo.github.io,2,1
app.mural.co,1,1
gehrcke.de,1,1
