referrer,views_total,views_unique
Google,25,18
github.com,19,9
jgehrcke.github.io,3,1
repohistory.com,2,2
yandex.ru,2,1
ecosia.org,1,1
perplexity.ai,1,1
Bing,1,1
DuckDuckGo,1,1
