url_path,views_total,views_unique
/jgehrcke/github-repo-stats,40,26
/jgehrcke/github-repo-stats/wiki/Tutorial,14,7
/jgehrcke/github-repo-stats/blob/5fefc527288995e2e7e35593db496451580f51db/analyze.py,7,6
/jgehrcke/github-repo-stats/issues,6,2
/jgehrcke/github-repo-stats/blob/main/README.md,5,1
/jgehrcke/github-repo-stats/pulls,3,2
/jgehrcke/github-repo-stats/commit/78798ef97a07468beda69b87157e9cebf70b752e,2,1
/jgehrcke/github-repo-stats/actions,1,1
/jgehrcke/github-repo-stats/actions/runs/24221027342,1,1
/jgehrcke/github-repo-stats/issues/72,1,1
