referrer,views_total,views_unique
github.com,40,14
Google,10,6
maziggy.github.io,3,1
search.brave.com,2,2
awslabs.github.io,2,1
Bing,1,1
DuckDuckGo,1,1
jgehrcke.github.io,1,1
