referrer,views_total,views_unique
github.com,53,16
Google,45,25
declipsonator.github.io,12,2
jgehrcke.github.io,10,2
github.community,9,6
tom-doerr.github.io,3,3
DuckDuckGo,2,1
ecosia.org,1,1
yandex.ru,1,1
stackoverflow.com,1,1
