url_path,views_total,views_unique
/jgehrcke/github-repo-stats,57,26
/jgehrcke/github-repo-stats/issues,9,3
/jgehrcke/github-repo-stats/issues/17,4,2
/jgehrcke/github-repo-stats/issues/20,4,2
/jgehrcke/github-repo-stats/search,3,1
/jgehrcke/github-repo-stats/issues/18,2,2
/jgehrcke/github-repo-stats/issues/19,2,2
/jgehrcke/github-repo-stats/tree/main/resources,2,2
/jgehrcke/github-repo-stats/blob/edea9a116c92587c8a309adbeb3cabbc2a9cbec3/fetch.py,2,1
/jgehrcke/github-repo-stats/blob/main/action.yml,2,1
